Variation,Inclination,a,b,d,Matrix1.CplCoef(V_Outer1 V_Inner1),Matrix1.CplCoef(V_Outer2 V_Inner2)
254,10deg,2.5,3,20,-0.610512068,-0.628296018
164,5deg,2.5,3,20,-0.615329945,-0.624371107
74,0deg,2.5,3,20,-0.618708602,-0.619048027
253,10deg,2.5,3,10,-0.583638407,-0.592561463
163,5deg,2.5,3,10,-0.58654583,-0.590504308
73,0deg,2.5,3,10,-0.587782685,-0.588007953
257,10deg,2.5,3.5,20,-0.568865712,-0.587284782
167,5deg,2.5,3.5,20,-0.572882518,-0.582024978
77,0deg,2.5,3.5,20,-0.577631718,-0.57772287
255,10deg,2.5,3,30,-0.544339205,-0.572052906
165,5deg,2.5,3,30,-0.551194496,-0.564980032
75,0deg,2.5,3,30,-0.556730718,-0.556874476
260,10deg,2.5,4,20,-0.529834516,-0.548389491
170,5deg,2.5,4,20,-0.534122047,-0.543818318
256,10deg,2.5,3.5,10,-0.53112725,-0.540158094
80,0deg,2.5,4,20,-0.539659468,-0.540031108
166,5deg,2.5,3.5,10,-0.533334474,-0.538143397
76,0deg,2.5,3.5,10,-0.535826479,-0.535683464
263,10deg,2.5,4.5,20,-0.494786737,-0.513593551
173,5deg,2.5,4.5,20,-0.49829447,-0.508111605
83,0deg,2.5,4.5,20,-0.504312457,-0.5041066
258,10deg,2.5,3.5,30,-0.463983457,-0.491678795
259,10deg,2.5,4,10,-0.477637411,-0.486245082
168,5deg,2.5,3.5,30,-0.470514651,-0.484208315
169,5deg,2.5,4,10,-0.478954799,-0.483584226
79,0deg,2.5,4,10,-0.480433946,-0.480166182
266,10deg,2.5,5,20,-0.460271424,-0.479693319
78,0deg,2.5,3.5,30,-0.477669331,-0.47727105
176,5deg,2.5,5,20,-0.465750783,-0.475459677
81,0deg,2.5,4,30,-,-
82,0deg,2.5,4.5,10,-0.413381069,-0.413343786
84,0deg,2.5,4.5,30,-,-
85,0deg,2.5,5,10,-,-
86,0deg,2.5,5,20,-0.469824395,-0.4698091
87,0deg,2.5,5,30,-,-
88,0deg,2.5,5.5,10,-,-
89,0deg,2.5,5.5,20,-0.438817926,-0.438765198
90,0deg,2.5,5.5,30,-,-
171,5deg,2.5,4,30,-,-
172,5deg,2.5,4.5,10,-0.41094824,-0.415405281
174,5deg,2.5,4.5,30,-,-
175,5deg,2.5,5,10,-,-
177,5deg,2.5,5,30,-,-
178,5deg,2.5,5.5,10,-,-
179,5deg,2.5,5.5,20,-0.434594924,-0.443384423
180,5deg,2.5,5.5,30,-,-
261,10deg,2.5,4,30,-,-
262,10deg,2.5,4.5,10,-0.407338648,-0.416371246
264,10deg,2.5,4.5,30,-,-
265,10deg,2.5,5,10,-,-
267,10deg,2.5,5,30,-,-
268,10deg,2.5,5.5,10,-,-
269,10deg,2.5,5.5,20,-0.429659345,-0.448426931
270,10deg,2.5,5.5,30,-,-
434,20deg,2.5,3,20,-0.602894852,-0.639693624
344,15deg,2.5,3,20,-0.606124254,-0.633153324
437,20deg,2.5,3.5,20,-0.559722324,-0.598026036
433,20deg,2.5,3,10,-0.578874826,-0.596654621
343,15deg,2.5,3,10,-0.580897263,-0.594636769
347,15deg,2.5,3.5,20,-0.563953206,-0.591648885
435,20deg,2.5,3,30,-0.53014798,-0.586238556
345,15deg,2.5,3,30,-0.536821935,-0.578499246
440,20deg,2.5,4,20,-0.520217957,-0.559033184
350,15deg,2.5,4,20,-0.525395967,-0.554039786
436,20deg,2.5,3.5,10,-0.527529402,-0.546381675
346,15deg,2.5,3.5,10,-0.529009061,-0.542817716
443,20deg,2.5,4.5,20,-0.485625724,-0.524430622
353,15deg,2.5,4.5,20,-0.490616107,-0.517858291
438,20deg,2.5,3.5,30,-0.452007826,-0.508464587
348,15deg,2.5,3.5,30,-0.458111226,-0.499239773
439,20deg,2.5,4,10,-0.472648925,-0.49136275
446,20deg,2.5,5,20,-0.452259742,-0.4905823
349,15deg,2.5,4,10,-0.475301156,-0.488869591
356,15deg,2.5,5,20,-0.456324856,-0.484860392
449,20deg,2.5,5.5,20,-0.420987062,-0.45927184
351,15deg,2.5,4,30,-,-
352,15deg,2.5,4.5,10,-0.40786822,-0.421010262
354,15deg,2.5,4.5,30,-,-
355,15deg,2.5,5,10,-,-
357,15deg,2.5,5,30,-,-
358,15deg,2.5,5.5,10,-,-
359,15deg,2.5,5.5,20,-0.425011907,-0.453519439
360,15deg,2.5,5.5,30,-,-
441,20deg,2.5,4,30,-,-
442,20deg,2.5,4.5,10,-0.404393646,-0.422557136
444,20deg,2.5,4.5,30,-,-
445,20deg,2.5,5,10,-,-
447,20deg,2.5,5,30,-,-
448,20deg,2.5,5.5,10,-,-
450,20deg,2.5,5.5,30,-,-
326,15deg,2,3,20,-0.606124254,-0.633153324
236,10deg,2,3,20,-0.610512068,-0.628296018
146,5deg,2,3,20,-0.615329945,-0.624371107
56,0deg,2,3,20,-0.618708602,-0.619048027
325,15deg,2,3,10,-0.580897263,-0.594636769
235,10deg,2,3,10,-0.583638407,-0.592561463
329,15deg,2,3.5,20,-0.563953206,-0.591648885
145,5deg,2,3,10,-0.58654583,-0.590504308
55,0deg,2,3,10,-0.587782685,-0.588007953
239,10deg,2,3.5,20,-0.568865712,-0.587284782
149,5deg,2,3.5,20,-0.572882518,-0.582024978
327,15deg,2,3,30,-0.536821935,-0.578499246
59,0deg,2,3.5,20,-0.577631718,-0.57772287
237,10deg,2,3,30,-0.544339205,-0.572052906
147,5deg,2,3,30,-0.551194496,-0.564980032
57,0deg,2,3,30,-0.556730718,-0.556874476
332,15deg,2,4,20,-0.525395967,-0.554039786
242,10deg,2,4,20,-0.529834516,-0.548389491
152,5deg,2,4,20,-0.534122047,-0.543818318
328,15deg,2,3.5,10,-0.529009061,-0.542817716
238,10deg,2,3.5,10,-0.53112725,-0.540158094
62,0deg,2,4,20,-0.539659468,-0.540031108
148,5deg,2,3.5,10,-0.533334474,-0.538143397
58,0deg,2,3.5,10,-0.535826479,-0.535683464
335,15deg,2,4.5,20,-0.490616107,-0.517858291
245,10deg,2,4.5,20,-0.494786737,-0.513593551
155,5deg,2,4.5,20,-0.49829447,-0.508111605
65,0deg,2,4.5,20,-0.504312457,-0.5041066
330,15deg,2,3.5,30,-0.458111226,-0.499239773
240,10deg,2,3.5,30,-0.463983457,-0.491678795
331,15deg,2,4,10,-0.475301156,-0.488869591
241,10deg,2,4,10,-0.477637411,-0.486245082
150,5deg,2,3.5,30,-0.470514651,-0.484208315
151,5deg,2,4,10,-0.478954799,-0.483584226
61,0deg,2,4,10,-0.480433946,-0.480166182
248,10deg,2,5,20,-0.460271424,-0.479693319
60,0deg,2,3.5,30,-0.477669331,-0.47727105
158,5deg,2,5,20,-0.465750783,-0.475459677
63,0deg,2,4,30,-,-
68,0deg,2,5,20,-0.469824395,-0.4698091
71,0deg,2,5.5,20,-0.438817926,-0.438765198
64,0deg,2,4.5,10,-0.413381069,-0.413343786
66,0deg,2,4.5,30,-,-
67,0deg,2,5,10,-,-
69,0deg,2,5,30,-,-
70,0deg,2,5.5,10,-,-
72,0deg,2,5.5,30,-,-
153,5deg,2,4,30,-,-
154,5deg,2,4.5,10,-0.41094824,-0.415405281
156,5deg,2,4.5,30,-,-
157,5deg,2,5,10,-,-
159,5deg,2,5,30,-,-
160,5deg,2,5.5,10,-,-
161,5deg,2,5.5,20,-0.434594924,-0.443384423
162,5deg,2,5.5,30,-,-
243,10deg,2,4,30,-,-
244,10deg,2,4.5,10,-0.407338648,-0.416371246
246,10deg,2,4.5,30,-,-
247,10deg,2,5,10,-,-
249,10deg,2,5,30,-,-
250,10deg,2,5.5,10,-,-
251,10deg,2,5.5,20,-0.429659345,-0.448426931
252,10deg,2,5.5,30,-,-
338,15deg,2,5,20,-0.456324856,-0.484860392
333,15deg,2,4,30,-,-
334,15deg,2,4.5,10,-0.40786822,-0.421010262
336,15deg,2,4.5,30,-,-
337,15deg,2,5,10,-,-
339,15deg,2,5,30,-,-
340,15deg,2,5.5,10,-,-
416,20deg,2,3,20,-0.602894852,-0.639693624
419,20deg,2,3.5,20,-0.559722324,-0.598026036
415,20deg,2,3,10,-0.578874826,-0.596654621
417,20deg,2,3,30,-0.53014798,-0.586238556
422,20deg,2,4,20,-0.520217957,-0.559033184
418,20deg,2,3.5,10,-0.527529402,-0.546381675
425,20deg,2,4.5,20,-0.485625724,-0.524430622
420,20deg,2,3.5,30,-0.452007826,-0.508464587
421,20deg,2,4,10,-0.472648925,-0.49136275
428,20deg,2,5,20,-0.452259742,-0.4905823
431,20deg,2,5.5,20,-0.420987062,-0.45927184
341,15deg,2,5.5,20,-0.425011907,-0.453519439
342,15deg,2,5.5,30,-,-
423,20deg,2,4,30,-,-
424,20deg,2,4.5,10,-0.404393646,-0.422557136
426,20deg,2,4.5,30,-,-
427,20deg,2,5,10,-,-
429,20deg,2,5,30,-,-
430,20deg,2,5.5,10,-,-
432,20deg,2,5.5,30,-,-
308,15deg,1.5,3,20,-0.606124254,-0.633153324
218,10deg,1.5,3,20,-0.610512068,-0.628296018
128,5deg,1.5,3,20,-0.615329945,-0.624371107
38,0deg,1.5,3,20,-0.618708602,-0.619048027
307,15deg,1.5,3,10,-0.580897263,-0.594636769
217,10deg,1.5,3,10,-0.583638407,-0.592561463
311,15deg,1.5,3.5,20,-0.563953206,-0.591648885
127,5deg,1.5,3,10,-0.58654583,-0.590504308
37,0deg,1.5,3,10,-0.587782685,-0.588007953
221,10deg,1.5,3.5,20,-0.568865712,-0.587284782
131,5deg,1.5,3.5,20,-0.572882518,-0.582024978
309,15deg,1.5,3,30,-0.536821935,-0.578499246
41,0deg,1.5,3.5,20,-0.577631718,-0.57772287
219,10deg,1.5,3,30,-0.544339205,-0.572052906
129,5deg,1.5,3,30,-0.551194496,-0.564980032
39,0deg,1.5,3,30,-0.556730718,-0.556874476
314,15deg,1.5,4,20,-0.525395967,-0.554039786
224,10deg,1.5,4,20,-0.529834516,-0.548389491
134,5deg,1.5,4,20,-0.534122047,-0.543818318
310,15deg,1.5,3.5,10,-0.529009061,-0.542817716
220,10deg,1.5,3.5,10,-0.53112725,-0.540158094
44,0deg,1.5,4,20,-0.539659468,-0.540031108
130,5deg,1.5,3.5,10,-0.533334474,-0.538143397
40,0deg,1.5,3.5,10,-0.535826479,-0.535683464
317,15deg,1.5,4.5,20,-0.490616107,-0.517858291
227,10deg,1.5,4.5,20,-0.494786737,-0.513593551
137,5deg,1.5,4.5,20,-0.49829447,-0.508111605
47,0deg,1.5,4.5,20,-0.504312457,-0.5041066
312,15deg,1.5,3.5,30,-0.458111226,-0.499239773
222,10deg,1.5,3.5,30,-0.463983457,-0.491678795
313,15deg,1.5,4,10,-0.475301156,-0.488869591
223,10deg,1.5,4,10,-0.477637411,-0.486245082
320,15deg,1.5,5,20,-0.456324856,-0.484860392
132,5deg,1.5,3.5,30,-0.470514651,-0.484208315
133,5deg,1.5,4,10,-0.478954799,-0.483584226
43,0deg,1.5,4,10,-0.480433946,-0.480166182
230,10deg,1.5,5,20,-0.460271424,-0.479693319
42,0deg,1.5,3.5,30,-0.477669331,-0.47727105
140,5deg,1.5,5,20,-0.465750783,-0.475459677
45,0deg,1.5,4,30,-,-
46,0deg,1.5,4.5,10,-0.413381069,-0.413343786
48,0deg,1.5,4.5,30,-,-
49,0deg,1.5,5,10,-,-
50,0deg,1.5,5,20,-0.469824395,-0.4698091
51,0deg,1.5,5,30,-,-
52,0deg,1.5,5.5,10,-,-
53,0deg,1.5,5.5,20,-0.438817926,-0.438765198
54,0deg,1.5,5.5,30,-,-
135,5deg,1.5,4,30,-,-
136,5deg,1.5,4.5,10,-0.41094824,-0.415405281
138,5deg,1.5,4.5,30,-,-
139,5deg,1.5,5,10,-,-
141,5deg,1.5,5,30,-,-
142,5deg,1.5,5.5,10,-,-
143,5deg,1.5,5.5,20,-0.434594924,-0.443384423
144,5deg,1.5,5.5,30,-,-
225,10deg,1.5,4,30,-,-
226,10deg,1.5,4.5,10,-0.407338648,-0.416371246
228,10deg,1.5,4.5,30,-,-
229,10deg,1.5,5,10,-,-
231,10deg,1.5,5,30,-,-
232,10deg,1.5,5.5,10,-,-
233,10deg,1.5,5.5,20,-0.429659345,-0.448426931
234,10deg,1.5,5.5,30,-,-
315,15deg,1.5,4,30,-,-
316,15deg,1.5,4.5,10,-0.40786822,-0.421010262
318,15deg,1.5,4.5,30,-,-
319,15deg,1.5,5,10,-,-
321,15deg,1.5,5,30,-,-
322,15deg,1.5,5.5,10,-,-
323,15deg,1.5,5.5,20,-0.425011907,-0.453519439
324,15deg,1.5,5.5,30,-,-
398,20deg,1.5,3,20,-0.602894852,-0.639693624
401,20deg,1.5,3.5,20,-0.559722324,-0.598026036
397,20deg,1.5,3,10,-0.578874826,-0.596654621
399,20deg,1.5,3,30,-0.53014798,-0.586238556
404,20deg,1.5,4,20,-0.520217957,-0.559033184
400,20deg,1.5,3.5,10,-0.527529402,-0.546381675
407,20deg,1.5,4.5,20,-0.485625724,-0.524430622
402,20deg,1.5,3.5,30,-0.452007826,-0.508464587
403,20deg,1.5,4,10,-0.472648925,-0.49136275
410,20deg,1.5,5,20,-0.452259742,-0.4905823
413,20deg,1.5,5.5,20,-0.420987062,-0.45927184
405,20deg,1.5,4,30,-,-
406,20deg,1.5,4.5,10,-0.404393646,-0.422557136
408,20deg,1.5,4.5,30,-,-
409,20deg,1.5,5,10,-,-
411,20deg,1.5,5,30,-,-
412,20deg,1.5,5.5,10,-,-
414,20deg,1.5,5.5,30,-,-
20,0deg,1,3,20,-0.618708602,-0.619048027
19,0deg,1,3,10,-0.587782685,-0.588007953
23,0deg,1,3.5,20,-0.577631718,-0.57772287
290,15deg,1,3,20,-0.606124254,-0.633153324
200,10deg,1,3,20,-0.610512068,-0.628296018
110,5deg,1,3,20,-0.615329945,-0.624371107
289,15deg,1,3,10,-0.580897263,-0.594636769
199,10deg,1,3,10,-0.583638407,-0.592561463
293,15deg,1,3.5,20,-0.563953206,-0.591648885
109,5deg,1,3,10,-0.58654583,-0.590504308
203,10deg,1,3.5,20,-0.568865712,-0.587284782
113,5deg,1,3.5,20,-0.572882518,-0.582024978
291,15deg,1,3,30,-0.536821935,-0.578499246
201,10deg,1,3,30,-0.544339205,-0.572052906
111,5deg,1,3,30,-0.551194496,-0.564980032
21,0deg,1,3,30,-0.556730718,-0.556874476
296,15deg,1,4,20,-0.525395967,-0.554039786
206,10deg,1,4,20,-0.529834516,-0.548389491
116,5deg,1,4,20,-0.534122047,-0.543818318
292,15deg,1,3.5,10,-0.529009061,-0.542817716
202,10deg,1,3.5,10,-0.53112725,-0.540158094
26,0deg,1,4,20,-0.539659468,-0.540031108
112,5deg,1,3.5,10,-0.533334474,-0.538143397
22,0deg,1,3.5,10,-0.535826479,-0.535683464
299,15deg,1,4.5,20,-0.490616107,-0.517858291
209,10deg,1,4.5,20,-0.494786737,-0.513593551
119,5deg,1,4.5,20,-0.49829447,-0.508111605
29,0deg,1,4.5,20,-0.504312457,-0.5041066
294,15deg,1,3.5,30,-0.458111226,-0.499239773
204,10deg,1,3.5,30,-0.463983457,-0.491678795
295,15deg,1,4,10,-0.475301156,-0.488869591
205,10deg,1,4,10,-0.477637411,-0.486245082
302,15deg,1,5,20,-0.456324856,-0.484860392
114,5deg,1,3.5,30,-0.470514651,-0.484208315
115,5deg,1,4,10,-0.478954799,-0.483584226
25,0deg,1,4,10,-0.480433946,-0.480166182
212,10deg,1,5,20,-0.460271424,-0.479693319
24,0deg,1,3.5,30,-0.477669331,-0.47727105
122,5deg,1,5,20,-0.465750783,-0.475459677
27,0deg,1,4,30,-,-
32,0deg,1,5,20,-0.469824395,-0.4698091
35,0deg,1,5.5,20,-0.438817926,-0.438765198
28,0deg,1,4.5,10,-0.413381069,-0.413343786
30,0deg,1,4.5,30,-,-
31,0deg,1,5,10,-,-
33,0deg,1,5,30,-,-
34,0deg,1,5.5,10,-,-
36,0deg,1,5.5,30,-,-
117,5deg,1,4,30,-,-
118,5deg,1,4.5,10,-0.41094824,-0.415405281
120,5deg,1,4.5,30,-,-
121,5deg,1,5,10,-,-
123,5deg,1,5,30,-,-
124,5deg,1,5.5,10,-,-
125,5deg,1,5.5,20,-0.434594924,-0.443384423
126,5deg,1,5.5,30,-,-
207,10deg,1,4,30,-,-
208,10deg,1,4.5,10,-0.407338648,-0.416371246
210,10deg,1,4.5,30,-,-
211,10deg,1,5,10,-,-
213,10deg,1,5,30,-,-
214,10deg,1,5.5,10,-,-
215,10deg,1,5.5,20,-0.429659345,-0.448426931
216,10deg,1,5.5,30,-,-
297,15deg,1,4,30,-,-
298,15deg,1,4.5,10,-0.40786822,-0.421010262
300,15deg,1,4.5,30,-,-
301,15deg,1,5,10,-,-
303,15deg,1,5,30,-,-
304,15deg,1,5.5,10,-,-
305,15deg,1,5.5,20,-0.425011907,-0.453519439
306,15deg,1,5.5,30,-,-
380,20deg,1,3,20,-0.602894852,-0.639693624
383,20deg,1,3.5,20,-0.559722324,-0.598026036
379,20deg,1,3,10,-0.578874826,-0.596654621
381,20deg,1,3,30,-0.53014798,-0.586238556
386,20deg,1,4,20,-0.520217957,-0.559033184
382,20deg,1,3.5,10,-0.527529402,-0.546381675
389,20deg,1,4.5,20,-0.485625724,-0.524430622
384,20deg,1,3.5,30,-0.452007826,-0.508464587
385,20deg,1,4,10,-0.472648925,-0.49136275
392,20deg,1,5,20,-0.452259742,-0.4905823
395,20deg,1,5.5,20,-0.420987062,-0.45927184
387,20deg,1,4,30,-,-
388,20deg,1,4.5,10,-0.404393646,-0.422557136
390,20deg,1,4.5,30,-,-
391,20deg,1,5,10,-,-
393,20deg,1,5,30,-,-
394,20deg,1,5.5,10,-,-
396,20deg,1,5.5,30,-,-
2,0deg,0.5,3,20,-0.618708602,-0.619048027
1,0deg,0.5,3,10,-0.587782685,-0.588007953
5,0deg,0.5,3.5,20,-0.577631718,-0.57772287
3,0deg,0.5,3,30,-0.556730718,-0.556874476
8,0deg,0.5,4,20,-0.539659468,-0.540031108
4,0deg,0.5,3.5,10,-0.535826479,-0.535683464
11,0deg,0.5,4.5,20,-0.504312457,-0.5041066
7,0deg,0.5,4,10,-0.480433946,-0.480166182
6,0deg,0.5,3.5,30,-0.477669331,-0.47727105
9,0deg,0.5,4,30,-,-
10,0deg,0.5,4.5,10,-0.413381069,-0.413343786
12,0deg,0.5,4.5,30,-,-
13,0deg,0.5,5,10,-,-
272,15deg,0.5,3,20,-0.606124254,-0.633153324
182,10deg,0.5,3,20,-0.610512068,-0.628296018
92,5deg,0.5,3,20,-0.615329945,-0.624371107
271,15deg,0.5,3,10,-0.580897263,-0.594636769
181,10deg,0.5,3,10,-0.583638407,-0.592561463
275,15deg,0.5,3.5,20,-0.563953206,-0.591648885
91,5deg,0.5,3,10,-0.58654583,-0.590504308
185,10deg,0.5,3.5,20,-0.568865712,-0.587284782
95,5deg,0.5,3.5,20,-0.572882518,-0.582024978
273,15deg,0.5,3,30,-0.536821935,-0.578499246
183,10deg,0.5,3,30,-0.544339205,-0.572052906
93,5deg,0.5,3,30,-0.551194496,-0.564980032
278,15deg,0.5,4,20,-0.525395967,-0.554039786
188,10deg,0.5,4,20,-0.529834516,-0.548389491
98,5deg,0.5,4,20,-0.534122047,-0.543818318
274,15deg,0.5,3.5,10,-0.529009061,-0.542817716
184,10deg,0.5,3.5,10,-0.53112725,-0.540158094
94,5deg,0.5,3.5,10,-0.533334474,-0.538143397
281,15deg,0.5,4.5,20,-0.490616107,-0.517858291
191,10deg,0.5,4.5,20,-0.494786737,-0.513593551
101,5deg,0.5,4.5,20,-0.49829447,-0.508111605
276,15deg,0.5,3.5,30,-0.458111226,-0.499239773
186,10deg,0.5,3.5,30,-0.463983457,-0.491678795
277,15deg,0.5,4,10,-0.475301156,-0.488869591
187,10deg,0.5,4,10,-0.477637411,-0.486245082
284,15deg,0.5,5,20,-0.456324856,-0.484860392
96,5deg,0.5,3.5,30,-0.470514651,-0.484208315
97,5deg,0.5,4,10,-0.478954799,-0.483584226
194,10deg,0.5,5,20,-0.460271424,-0.479693319
104,5deg,0.5,5,20,-0.465750783,-0.475459677
14,0deg,0.5,5,20,-0.469824395,-0.4698091
15,0deg,0.5,5,30,-,-
16,0deg,0.5,5.5,10,-,-
17,0deg,0.5,5.5,20,-0.438817926,-0.438765198
18,0deg,0.5,5.5,30,-,-
99,5deg,0.5,4,30,-,-
107,5deg,0.5,5.5,20,-0.434594924,-0.443384423
100,5deg,0.5,4.5,10,-0.41094824,-0.415405281
102,5deg,0.5,4.5,30,-,-
103,5deg,0.5,5,10,-,-
105,5deg,0.5,5,30,-,-
106,5deg,0.5,5.5,10,-,-
108,5deg,0.5,5.5,30,-,-
189,10deg,0.5,4,30,-,-
190,10deg,0.5,4.5,10,-0.407338648,-0.416371246
192,10deg,0.5,4.5,30,-,-
193,10deg,0.5,5,10,-,-
195,10deg,0.5,5,30,-,-
196,10deg,0.5,5.5,10,-,-
197,10deg,0.5,5.5,20,-0.429659345,-0.448426931
198,10deg,0.5,5.5,30,-,-
279,15deg,0.5,4,30,-,-
280,15deg,0.5,4.5,10,-0.40786822,-0.421010262
282,15deg,0.5,4.5,30,-,-
283,15deg,0.5,5,10,-,-
285,15deg,0.5,5,30,-,-
286,15deg,0.5,5.5,10,-,-
287,15deg,0.5,5.5,20,-0.425011907,-0.453519439
288,15deg,0.5,5.5,30,-,-
362,20deg,0.5,3,20,-0.602894852,-0.639693624
365,20deg,0.5,3.5,20,-0.559722324,-0.598026036
361,20deg,0.5,3,10,-0.578874826,-0.596654621
363,20deg,0.5,3,30,-0.53014798,-0.586238556
368,20deg,0.5,4,20,-0.520217957,-0.559033184
364,20deg,0.5,3.5,10,-0.527529402,-0.546381675
371,20deg,0.5,4.5,20,-0.485625724,-0.524430622
366,20deg,0.5,3.5,30,-0.452007826,-0.508464587
367,20deg,0.5,4,10,-0.472648925,-0.49136275
374,20deg,0.5,5,20,-0.452259742,-0.4905823
377,20deg,0.5,5.5,20,-0.420987062,-0.45927184
369,20deg,0.5,4,30,-,-
370,20deg,0.5,4.5,10,-0.404393646,-0.422557136
372,20deg,0.5,4.5,30,-,-
373,20deg,0.5,5,10,-,-
375,20deg,0.5,5,30,-,-
376,20deg,0.5,5.5,10,-,-
378,20deg,0.5,5.5,30,-,-
